key,County,State,year,longitude,latitude,EVI_04-07,pr_04-07,tmmx_04-07
DE WITT-ILLINOIS,DE WITT,ILLINOIS,2015,-89.10393390516077,40.06239534711811,1521.121223296552,2.509568691253662,292.70867919921875
DE WITT-ILLINOIS,DE WITT,ILLINOIS,2015,-89.06226734733745,40.06239534711811,1675.1908489118528,3.6708598136901855,292.5478515625
DE WITT-ILLINOIS,DE WITT,ILLINOIS,2015,-89.02060078951415,40.06239534711811,1666.636168215808,4.428651332855225,292.1920471191406
DE WITT-ILLINOIS,DE WITT,ILLINOIS,2015,-88.97893423169083,40.06239534711811,1672.5392750392782,4.566431522369385,292.14453125
DE WITT-ILLINOIS,DE WITT,ILLINOIS,2015,-88.93726767386751,40.06239534711811,1551.387507642606,5.2454915046691895,292.1238098144531
DE WITT-ILLINOIS,DE WITT,ILLINOIS,2015,-88.89560111604419,40.06239534711811,1550.9120228255083,6.160746574401856,292.0251159667969
DE WITT-ILLINOIS,DE WITT,ILLINOIS,2015,-88.85393455822089,40.06239534711811,1519.5535571232056,7.056318283081055,291.882568359375
DE WITT-ILLINOIS,DE WITT,ILLINOIS,2015,-88.81226800039757,40.06239534711811,1558.2044827396323,7.036635398864746,291.7631530761719
DE WITT-ILLINOIS,DE WITT,ILLINOIS,2015,-88.77060144257425,40.06239534711811,1549.1070714899477,6.869330883026123,291.6973571777344
DE WITT-ILLINOIS,DE WITT,ILLINOIS,2015,-89.10393390516077,40.10406190494143,1918.992857166524,1.7911429405212402,292.4771728515625
DE WITT-ILLINOIS,DE WITT,ILLINOIS,2015,-89.06226734733745,40.10406190494143,2067.195453021579,3.464189291000366,292.24566650390625
DE WITT-ILLINOIS,DE WITT,ILLINOIS,2015,-89.02060078951415,40.10406190494143,2185.711994047838,5.166759967803955,292.1396484375
DE WITT-ILLINOIS,DE WITT,ILLINOIS,2015,-88.97893423169083,40.10406190494143,2372.9629204292364,5.855661392211914,292.0312194824219
DE WITT-ILLINOIS,DE WITT,ILLINOIS,2015,-88.93726767386751,40.10406190494143,1942.798575598016,6.642977714538574,291.9495849609375
DE WITT-ILLINOIS,DE WITT,ILLINOIS,2015,-88.89560111604419,40.10406190494143,1823.7591580871967,7.991256237030029,291.9008483886719
DE WITT-ILLINOIS,DE WITT,ILLINOIS,2015,-88.85393455822089,40.10406190494143,1571.9820126824975,9.290327072143556,291.74609375
DE WITT-ILLINOIS,DE WITT,ILLINOIS,2015,-88.81226800039757,40.10406190494143,1480.2703739377855,10.333520889282228,291.63885498046875
DE WITT-ILLINOIS,DE WITT,ILLINOIS,2015,-88.77060144257425,40.10406190494143,1576.0858216476215,10.9240083694458,291.43536376953125
DE WITT-ILLINOIS,DE WITT,ILLINOIS,2015,-88.72893488475093,40.10406190494143,1535.4248906489142,11.65227508544922,291.4292907714844
DE WITT-ILLINOIS,DE WITT,ILLINOIS,2015,-89.14560046298409,40.14572846276474,1644.482727297886,3.592128038406372,292.5356750488281
DE WITT-ILLINOIS,DE WITT,ILLINOIS,2015,-89.10393390516077,40.14572846276474,1841.124686856284,3.926737546920776,292.135986328125
